City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,wailua homesteads,22.0669,-159.378,27.24,81,40,7.2,US,1699932985
146,kill devil hills,36.0307,-75.676,10.01,80,0,1.54,US,1699932985
147,flying fish cove,-10.4217,105.6791,27.82,74,100,5.14,CX,1699932985
148,aasiaat,68.7098,-52.8699,-11.17,82,100,1.29,GL,1699932986
149,tavda,58.0425,65.2726,0.94,95,100,1.79,RU,1699932986
150,afaahiti,-17.75,-149.2833,27.81,90,95,6.49,PF,1699932986
151,qobustan,40.0824,49.412,14.43,85,27,2.94,AZ,1699932986
152,weno,7.4515,151.8468,30.97,74,100,1.54,FM,1699932746
153,kalmunai,7.4167,81.8167,27.91,77,62,1.66,LK,1699932924
154,selfoss,63.9331,-20.9971,6.14,75,78,8.0,IS,1699932987
155,saint-georges,12.0564,-61.7485,27.82,83,40,6.17,GD,1699932988
156,masterton,-40.9597,175.6575,17.71,55,67,6.26,NZ,1699932857
157,urangan,-25.3,152.9,24.18,70,0,7.22,AU,1699932790
158,laguna,38.421,-121.4238,15.17,74,0,0.0,US,1699932989
159,toyooka,35.5333,134.8333,14.03,67,40,1.54,JP,1699932989
160,oliveira,-20.6964,-44.8272,22.18,52,8,1.94,BR,1699932989
161,marsa alam,25.0757,34.8918,25.48,76,6,3.92,EG,1699932989
162,anadyr,64.75,177.4833,-13.72,71,5,12.0,RU,1699932990
163,barabinsk,55.3571,78.357,2.21,85,100,2.33,RU,1699932990
164,chibougamau,49.9168,-74.3659,-5.21,93,100,3.09,CA,1699932990
165,ouadda,8.0777,22.4007,20.91,88,93,1.46,CF,1699932990
166,puerto deseado,-47.7503,-65.8938,8.65,44,100,10.18,AR,1699932991
167,ta`u,-14.2336,-169.5144,27.3,82,57,5.21,AS,1699932991
168,dno,57.8277,29.9637,0.87,94,100,2.81,RU,1699932991
169,pitimbu,-7.4706,-34.8086,26.33,80,55,3.53,BR,1699932992
170,yuci,37.6803,112.7319,4.86,36,0,1.0,CN,1699932992
171,bourg-saint-andeol,44.3757,4.6427,14.93,80,100,0.97,FR,1699932992
172,al ghayzah,16.2079,52.176,25.87,69,100,1.53,YE,1699932992
173,donetsk,48.0,37.8,7.11,66,100,1.34,UA,1699932723
174,namibe,-15.1961,12.1522,22.44,67,97,2.16,AO,1699932993
175,el kef,36.1742,8.7049,6.85,55,13,2.48,TN,1699932993
176,haiku-pauwela,20.9219,-156.3051,25.02,66,20,7.2,US,1699932993
177,palangkaraya,-2.2,113.8333,34.47,48,98,1.7,ID,1699932993
178,awjilah,29.1081,21.2869,17.71,89,0,3.79,LY,1699932994
179,lebu,-37.6167,-73.65,9.1,89,34,3.52,CL,1699932994
180,winkler,49.1817,-97.941,4.1,87,100,5.14,CA,1699932994
181,kannangad,12.3081,75.1063,27.83,62,48,1.03,IN,1699932995
182,tianpeng,30.9866,103.9393,10.91,71,97,1.03,CN,1699932995
183,olyokminsk,60.3736,120.4264,-6.06,86,100,2.46,RU,1699932996
184,souillac,-20.5167,57.5167,23.21,88,75,1.54,MU,1699932763
185,gudur,14.1333,79.85,27.09,70,100,3.58,IN,1699932997
186,kyshtovka,56.555,76.6271,-0.37,77,100,4.02,RU,1699932997
187,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,0,12.52,RU,1699932997
188,prince rupert,54.3161,-130.3201,7.83,67,75,5.14,CA,1699932998
189,tosontsengel,48.7567,98.2839,-10.88,93,100,1.48,MN,1699932998
190,alofi,-19.0595,-169.9187,25.94,89,100,5.14,NU,1699932998
191,berezovyy,51.6667,135.7,-4.03,46,0,1.15,RU,1699932998
192,norrtalje,59.758,18.705,2.79,96,100,3.54,SE,1699932999
193,ketchikan,55.3422,-131.6461,3.99,87,0,2.06,US,1699932863
194,luderitz,-26.6481,15.1594,15.9,75,0,2.49,NA,1699932999
195,maintirano,-18.0667,44.0167,26.45,68,0,5.26,MG,1699932999
196,mili,6.0815,171.735,27.95,81,100,6.92,MH,1699932999
197,kutum,14.2,24.6667,22.05,37,35,4.36,SD,1699933000
198,soc trang,9.6033,105.98,29.95,70,99,5.49,VN,1699933000
199,tazacorte,28.629,-17.9293,23.97,33,0,4.02,ES,1699932751
200,saham,24.1722,56.8886,26.53,35,59,2.16,OM,1699933001
201,kruisfontein,-34.0033,24.7314,11.97,87,35,2.45,ZA,1699933001
202,mao,39.8885,4.2658,17.31,100,0,2.57,ES,1699932825
203,tanout,14.9709,8.8879,21.39,16,26,4.81,NE,1699933001
204,tongliao,43.6125,122.2653,1.89,70,2,3.11,CN,1699933002
205,columbia falls,48.3725,-114.1815,6.34,68,100,4.63,US,1699933002
206,yasnyy,51.0333,59.8742,5.01,80,100,7.99,RU,1699933002
207,keflavik,64.0049,-22.5624,7.95,65,75,7.2,IS,1699933002
208,al muwayh,22.4333,41.7583,22.1,39,72,4.39,SA,1699933003
209,kingman,35.1894,-114.053,17.53,30,0,3.6,US,1699932708
210,santa eularia des riu,38.9846,1.5341,17.23,92,0,0.0,ES,1699933003
211,dapa,9.7594,126.0531,29.4,69,37,0.89,PH,1699933003
212,touros,-5.1989,-35.4608,26.33,79,76,5.2,BR,1699932909
213,atafu village,-8.5421,-172.5159,26.82,87,100,5.58,TK,1699933004
214,sitka,57.0531,-135.33,4.94,81,100,6.17,US,1699933004
215,saint-pierre,-21.3393,55.4781,26.98,50,45,3.09,RE,1699933004
216,geraldton,-28.7667,114.6,25.23,65,43,5.14,AU,1699933004
217,qaqortoq,60.7167,-46.0333,-6.93,94,95,1.61,GL,1699933005
218,cabo san lucas,22.8909,-109.9124,27.64,62,0,4.63,MX,1699933005
219,east falmouth,41.5784,-70.5586,4.41,82,100,0.45,US,1699933005
220,whitehorse,60.7161,-135.0538,-4.57,85,100,2.57,CA,1699933005
221,kailua-kona,19.6406,-155.9956,27.98,79,75,3.6,US,1699933005
222,hohhot,40.8106,111.6522,2.16,27,0,1.0,CN,1699933006
223,osorno,-40.5667,-73.15,5.17,87,40,1.54,CL,1699933006
224,greymouth,-42.4667,171.2,12.37,92,100,4.23,NZ,1699933006
225,grand baie,-20.0182,57.5802,26.36,70,7,1.79,MU,1699933007
226,rio grande,-32.035,-52.0986,18.86,95,100,3.13,BR,1699933007
227,carangola,-20.7331,-42.0294,22.85,83,52,1.23,BR,1699933007
228,ancud,-41.8697,-73.8203,5.85,70,31,3.43,CL,1699933007
229,kovdor,67.5662,30.4758,-14.36,100,100,1.69,RU,1699932823
230,bardai,11.65,7.2333,20.42,20,81,3.42,NG,1699933007
231,vadso,70.0744,29.7487,-3.91,86,75,5.14,NO,1699933008
232,longyearbyen,78.2186,15.6401,-11.09,85,100,3.09,SJ,1699933008
233,koulikoro,14.0,-7.75,21.49,14,4,3.54,ML,1699933008
234,kayyerkan,69.3786,87.7439,-22.45,92,46,2.11,RU,1699933008
235,okhotsk,59.3833,143.3,-13.86,77,77,6.58,RU,1699933008
236,puerto san jose,13.9256,-90.8244,26.5,87,76,2.07,GT,1699933009
237,minas de marcona,-15.2119,-75.1103,13.78,87,65,6.15,PE,1699933009
238,klyuchi,52.2667,79.1667,3.74,87,92,3.83,RU,1699933009
239,dankalwa,11.7443,12.1867,24.02,26,98,2.89,NG,1699933009
240,dexter,36.7959,-89.9579,11.92,49,100,3.6,US,1699933009
241,vila velha,-20.3297,-40.2925,25.97,87,0,6.17,BR,1699933010
242,malvan,16.0667,73.4667,28.17,54,97,2.01,IN,1699933010
243,antofagasta,-23.65,-70.4,16.6,73,29,2.69,CL,1699932724
244,vikhorevka,56.1201,101.1636,0.77,80,98,5.58,RU,1699933010
245,torit,4.4133,32.5678,21.88,88,17,0.61,SS,1699933010
246,shalqar,47.8333,59.6,4.42,79,91,6.43,KZ,1699932769
247,kudahuvadhoo,2.6708,72.8944,27.57,74,64,1.52,MV,1699933010
248,ciudad tula,23.0,-99.7167,15.72,97,100,1.53,MX,1699933011
249,nuku'alofa,-21.1333,-175.2,24.19,88,75,8.75,TO,1699933011
250,hermanus,-34.4187,19.2345,14.7,82,57,7.47,ZA,1699933011
251,east london,-33.0153,27.9116,14.52,94,75,1.54,ZA,1699933011
252,pesqueira,-8.3578,-36.6964,20.19,86,40,2.44,BR,1699933011
253,hawaiian paradise park,19.5933,-154.9731,23.83,93,75,0.45,US,1699933011
254,guerrero negro,27.9769,-114.0611,20.15,60,100,4.18,MX,1699933012
255,kingston,17.997,-76.7936,28.53,79,20,1.54,JM,1699933012
256,ati,13.2154,18.3353,27.01,27,74,4.35,TD,1699933012
257,bonanza,14.0289,-84.591,22.5,99,87,0.94,NI,1699933012
258,tura,25.5198,90.2201,25.81,60,18,0.65,IN,1699933012
259,bel ombre,-4.6167,55.4167,28.91,79,40,4.63,SC,1699933013
260,nemuro,43.3236,145.575,5.22,51,16,9.84,JP,1699933013
261,rizokarpaso,35.6,34.375,21.6,66,7,2.13,CY,1699933013
262,berdigestyakh,62.0989,126.6992,-12.36,96,99,2.17,RU,1699933013
263,vega de alatorre,20.0333,-96.6333,21.66,84,84,6.29,MX,1699933013
264,guozhen,34.3659,107.359,12.69,49,3,0.98,CN,1699933014
265,kavaratti,10.5669,72.642,27.58,70,63,1.13,IN,1699933014
266,klaksvik,62.2266,-6.589,7.51,68,63,10.01,FO,1699933014
267,pedernales,18.0384,-71.744,26.91,62,3,2.56,DO,1699933014
268,dampit,-8.2116,112.7493,30.82,55,59,2.95,ID,1699932827
269,balugaon,20.1667,85.1,26.75,54,99,1.78,IN,1699933014
270,altania,-23.8744,-53.9017,24.6,76,34,3.49,BR,1699933015
271,vorkuta,67.5,64.0,-12.08,88,100,3.64,RU,1699933015
272,la sarre,48.8002,-79.1996,0.21,98,100,4.85,CA,1699932762
273,kununurra,-15.7667,128.7333,35.99,44,59,2.57,AU,1699933015
274,oppdal,62.5943,9.6912,-6.18,93,96,3.79,NO,1699933015
275,homer,59.6425,-151.5483,4.93,68,0,7.72,US,1699933015
276,kidal,18.4411,1.4078,22.42,17,0,4.81,ML,1699933016
277,yuzhno-kurilsk,44.0306,145.8556,2.43,80,40,9.34,RU,1699933016
278,el granada,37.5027,-122.4694,15.72,78,0,3.09,US,1699933016
279,orsa,54.5153,30.4053,2.04,78,82,4.48,BY,1699933016
280,thunder bay,48.4001,-89.3168,-3.05,93,0,0.51,CA,1699932871
281,hami,42.8,93.45,5.96,26,63,1.92,CN,1699932717
282,lorengau,-2.0226,147.2712,28.27,77,97,3.0,PG,1699933017
283,sanctuary point,-35.1114,150.629,22.96,67,99,2.53,AU,1699933017
284,khandyga,62.6667,135.6,-23.45,96,64,1.1,RU,1699933017
285,magadan,59.5667,150.8,-16.37,72,71,4.83,RU,1699933017
286,berezovo,63.9381,65.0419,-6.66,95,100,5.42,RU,1699933017
287,wenchang,30.904,118.4887,11.69,38,0,1.46,CN,1699933018
288,tofol,5.3248,163.0078,29.88,74,75,3.09,FM,1699932904
